,pokedex_number,name,type1,type2,generation,hp,attack,defense,sp_attack,sp_defense,speed,base_egg_steps,base_happiness,capture_rate,classification,experience_growth,height_m,percentage_male,weight_kg,is_legendary,percentage_female,ability_0,ability_1,ability_2,ability_3,ability_4,ability_5
0,1,Bulbasaur,grass,poison,1,45,49,49,65,65,45,5120,70,45,Seed Pokémon,1059860,0.7,88.1,6.9,0,11.900000000000006,Overgrow,Chlorophyll,,,,
1,2,Ivysaur,grass,poison,1,60,62,63,80,80,60,5120,70,45,Seed Pokémon,1059860,1.0,88.1,13.0,0,11.900000000000006,Overgrow,Chlorophyll,,,,
2,3,Venusaur,grass,poison,1,80,100,123,122,120,80,5120,70,45,Seed Pokémon,1059860,2.0,88.1,100.0,0,11.900000000000006,Overgrow,Chlorophyll,,,,
3,4,Charmander,fire,none,1,39,52,43,60,50,65,5120,70,45,Lizard Pokémon,1059860,0.6,88.1,8.5,0,11.900000000000006,Blaze,Solar Power,,,,
4,5,Charmeleon,fire,none,1,58,64,58,80,65,80,5120,70,45,Flame Pokémon,1059860,1.1,88.1,19.0,0,11.900000000000006,Blaze,Solar Power,,,,
5,6,Charizard,fire,flying,1,78,104,78,159,115,100,5120,70,45,Flame Pokémon,1059860,1.7,88.1,90.5,0,11.900000000000006,Blaze,Solar Power,,,,
6,7,Squirtle,water,none,1,44,48,65,50,64,43,5120,70,45,Tiny Turtle Pokémon,1059860,0.5,88.1,9.0,0,11.900000000000006,Torrent,Rain Dish,,,,
7,8,Wartortle,water,none,1,59,63,80,65,80,58,5120,70,45,Turtle Pokémon,1059860,1.0,88.1,22.5,0,11.900000000000006,Torrent,Rain Dish,,,,
8,9,Blastoise,water,none,1,79,103,120,135,115,78,5120,70,45,Shellfish Pokémon,1059860,1.6,88.1,85.5,0,11.900000000000006,Torrent,Rain Dish,,,,
9,10,Caterpie,bug,none,1,45,30,35,20,20,45,3840,70,255,Worm Pokémon,1000000,0.3,50.0,2.9,0,50.0,Shield Dust,Run Away,,,,
10,11,Metapod,bug,none,1,50,20,55,25,25,30,3840,70,120,Cocoon Pokémon,1000000,0.7,50.0,9.9,0,50.0,Shed Skin,,,,,
11,12,Butterfree,bug,flying,1,60,45,50,90,80,70,3840,70,45,Butterfly Pokémon,1000000,1.1,50.0,32.0,0,50.0,Compoundeyes,Tinted Lens,,,,
12,13,Weedle,bug,poison,1,40,35,30,20,20,50,3840,70,255,Hairy Pokémon,1000000,0.3,50.0,3.2,0,50.0,Shield Dust,Run Away,,,,
13,14,Kakuna,bug,poison,1,45,25,50,25,25,35,3840,70,120,Cocoon Pokémon,1000000,0.6,50.0,10.0,0,50.0,Shed Skin,,,,,
14,15,Beedrill,bug,poison,1,65,150,40,15,80,145,3840,70,45,Poison Bee Pokémon,1000000,1.0,50.0,29.5,0,50.0,Swarm,Sniper,,,,
15,16,Pidgey,normal,flying,1,40,45,40,35,35,56,3840,70,255,Tiny Bird Pokémon,1059860,0.3,50.0,1.8,0,50.0,Keen Eye,Tangled Feet,Big Pecks,,,
16,17,Pidgeotto,normal,flying,1,63,60,55,50,50,71,3840,70,120,Bird Pokémon,1059860,1.1,50.0,30.0,0,50.0,Keen Eye,Tangled Feet,Big Pecks,,,
